time_stamp,humidity,temperature,pressure
1680703883,17,74,1007.91
1680712044,16,78,1008.97
1680716604,17,78,1008.95
1680704843,17,75,1008.09
1680719005,17,79,1008.85
1680686120,16,78,1007.75
1680714924,16,78,1009.05
1680697402,17,75,1007.55
1680691761,16,76,1007.63
1680694401,17,75,1007.53
1680705203,17,75,1008.23
1680708443,16,76,1008.8
1680692121,16,76,1007.67
1680725606,15,80,1008.43
1680724526,16,80,1008.54
1680724766,16,80,1008.48
1680725126,16,80,1008.46
1680725727,15,80,1008.42
1680725486,15,80,1008.43
1680725006,16,80,1008.53
1680725366,15,80,1008.51
1680724286,16,80,1008.56
1680724646,16,80,1008.57
1680724886,16,80,1008.51
1680723206,16,80,1008.6
1680724046,16,80,1008.54
1680724166,16,80,1008.57
1680722726,16,80,1008.59
1680723326,16,80,1008.6
1680723686,16,80,1008.58
1680724406,16,80,1008.52
1680723806,16,80,1008.5
1680723926,16,80,1008.55
